bank name,bank code,provider code
OVO,ovo;ovo10;ovo2;ovo3;ovo4;ovo5;ovo6;ovo7;ovo8;ovo9,ovo
LinkAja,linkaja;linkaja2,linkaja
Dana,dana;dna10;dna100;dna101;dna102;dna103;dna104;dna105;dna106;dna107;dna108;dna109;dna11;dna110;dna111;dna112;dna113;dna114;dna115;dna116;dna117;dna118;dna119;dna12;dna120;dna121;dna122;dna123;dna124;dna125;dna126;dna127;dna128;dna129;dna13;dna130;dna131;dna132;dna133;dna134;dna135;dna136;dna137;dna138;dna139;dna14;dna140;dna141;dna142;dna143;dna144;dna145;dna146;dna147;dna148;dna149;dna15;dna150;dna151;dna152;dna153;dna154;dna155;dna156;dna157;dna158;dna159;dna16;dna160;dna161;dna162;dna163;dna164;dna165;dna166;dna167;dna168;dna169;dna17;dna170;dna171;dna172;dna173;dna174;dna175;dna176;dna177;dna178;dna179;dna18;dna180;dna181;dna182;dna183;dna184;dna185;dna186;dna187;dna188;dna189;dna19;dna190;dna191;dna192;dna193;dna194;dna195;dna196;dna197;dna198;dna199;dana2;DANA;dna20;dna200;dna201;dna202;dna203;dna204;dna205;dna206;dna207;dna208;dna209;dna21;dna210;dna211;dna212;dna213;dna214;dna215;dna216;dna217;dna218;dna219;dna22;dna220;dna221;dna222;dna223;dna224;dna225;dna226;dna227;dna228;dna229;dna23;dna230;dna231;dna232;dna233;dna234;dna235;dna236;dna237;dna238;dna239;dna24;dna240;dna241;dna242;dna243;dna244;dna245;dna246;dna247;dna248;dna249;dna25;dna250;dna26;dna27;dna28;dna29;dana3;DANA 3;dna30;dna31;dna32;dna33;dna34;dna35;dna36;dna37;dna38;dna39;dna4;DANA4;dna40;dna41;dna42;dna43;dna44;dna45;dna46;dna47;dna48;dna49;dna5;dna50;dna51;dna52;dna53;dna54;dna55;dna56;dna57;dna58;dna59;dna6;dna60;dna61;dna62;dna63;dna64;dna65;dna66;dna67;dna68;dna69;dna7;dna70;dna71;dna72;dna73;dna74;dna75;dna76;dna77;dna78;dna79;dna8;dna80;dna81;dna82;dna83;dna84;dna85;dna86;dna87;dna88;dna89;dna9;dna90;dna91;dna92;dna93;dna94;dna95;dna96;dna97;dna98;dna99,dana
Gopay,gopay;gopay10;gopay2;gopay3;gopay4;gopay5;gopay6;gopay7;gopay8;gopay9,gopay
ShopeePay,shopee,shopeepay
